Código;DESCRIÇÃO;Saldo ideal;Und.;Origem;1º bimestre;2º bimestre;3º bimestre;4º bimestre;5º bimestre;6º bimestre;TOTAL;desc red;;;;;;;;;;;;;;;;;;;
206;LIXA PARA MADEIRA, Referência Grão: nº 150, Dimensões: 120 x 200 mm, Características Adicionais: costado de papel.;R$ 50.000,00;FL;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LIXA PARA MADEIRA;;;;;;;;;;;;;;;;;;;
208;LIXA PARA MADEIRA, Referência Grão: nº 220, Dimensões: 275 x 225 mm, Características Adicionais: costado de papel;R$ 50.000,00;FL;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LIXA PARA MADEIRA;;;;;;;;;;;;;;;;;;;
209;LÂMPADA UNIVERSAL, Aplicação: para uso em laringoscópio, Tensão: 2,5 Volts. Rosca Grossa, Características Adicionais: uso compatível com todas as marcas de laringoscópio.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LÂMPADA UNIVERSAL;;;;;;;;;;;;;;;;;;;
221;LUVA BORRACHA,Material: látex natural, Tamanho Punho: longo , Acabamento Superficial: palmas e dedos antiderrapantes, Formato: anatômica, Cor: preta, Tamanho: G, Revestimento Interno: forrada, Características Adicionais: perfeita sensibilidade tátil, resistente e duráveis.;R$ 50.000,00;PAR;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LUVA DE LATÉX g;;;;;;;;;;;;;;;;;;;
222;TINTA ESMALTE SINTÉTICO, Cor: branca, Tipo Acabamento: brilhante, Unidade De Fornecimento: galão de 3,60 litros.;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;TINTA ESMALTE SINTÉTICO;;;;;;;;;;;;;;;;;;;
247;BORRACHA, Material: látex, Cor: Bicolor:azul e vermelha, Dimensões Mínimas: 45 x 17 x 8 mm, Aplicação: grafite e tinta.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BORRACHA;;;;;;;;;;;;;;;;;;;
257;CLIPE,  Material: metal, Tratamento Superficial: niquelado, Tamanho  nº 01, Unidade de Fornecimento: caixa com 100 unidades;R$ 50.000,00;CX;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CLIPE;;;;;;;;;;;;;;;;;;;
302;LÁPIS PRETO,Material Corpo: madeira, Material Carga: grafite nº 02;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LÁPIS PRETO;;;;;;;;;;;;;;;;;;;
303;LIVRO ATA, Material Capa: papel cartão ( capa dura ), Altura: 33 cm, Largura: 22 cm, características Adicionais: folhas numeradas, Unidade De Fornecimento: livro com 100 folhas. De Fornecimento: livro com 100 folhas.;R$ 49.628,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 372,00;R$ 0,00;R$ 0,00;R$ 372,00;LIVRO ATA;;;;;;;;;;;;;;;;;;;
304;Livro Ata, capa dura em papel cartão, 33cm x 22cm, 200 folhas numeradas;R$ 49.217,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 783,00;R$ 0,00;R$ 0,00;R$ 783,00;LIVRO ATA;;;;;;;;;;;;;;;;;;;
306;LIVRO  PROTOCOLO, Material Capa: papel cartão ( capa dura ), Altura: 23 cm, Largura: 16 cm, Características Adicionais:  folhas numeradas, Unidade De Fornecimento: livro com 100 fo Unidade De Fornecimento: livro com 100 folhas;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LIVRO  PROTOCOLO;;;;;;;;;;;;;;;;;;;
316;PAPEL CARBONO, Material: película de poliéster ( filme ), Comprimento: 297 mm, Largura: 210 mm, Cor: azul, Tipo Face: mono face, Unidade De Fornecimento: caixa com 100 folhas. Fornecimento: caixa com 100 folhas.;R$ 50.000,00;CX;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PAPEL CARBONO;;;;;;;;;;;;;;;;;;;
353;RÉGUA,Material: plástico transparente, Espessura: 2 mm, Graduação: em milímetros, Comprimento: 30 cm. ;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;RÉGUA;;;;;;;;;;;;;;;;;;;
357;TINTA PARA CARIMBO,Material Tubo: plástico, Cor: azul, Aplicação: almofada carimbo, Unidade De Fornecimento: tubo com 37 ml.;R$ 50.000,00;TB;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;TINTA PARA CARIMBO;;;;;;;;;;;;;;;;;;;
395;TUBO DE COBRE 1/4”;R$ 50.000,00;MT;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;TUBO DE COBRE 1/4”;;;;;;;;;;;;;;;;;;;
444;CANETA MARCA TEXTO, Material Corpo: plástico, Cor: amarela.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CANETA MARCA TEXTO;;;;;;;;;;;;;;;;;;;
516;"FITA ISOLANTE; Tipo: anti-chama; Dimensões: 20m (C) x 19mm (L); Unidade de Fornecimento: rolo com 20m x 19mm.";R$ 50.000,00;RL;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;FITA ISOLANTE;;;;;;;;;;;;;;;;;;;
533;PILHA,Tipo Carga: alcalina, Tamanho: pequeno AA2, Aplicação: uso geral, Unidade De Fornecimento: unidade;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PILHA;;;;;;;;;;;;;;;;;;;
534;"DISJUNTOR MONOFÁSICO; Amperagem: 6ª; SIEMENS";R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;DISJUNTOR MONOFÁSICO;;;;;;;;;;;;;;;;;;;
544;TOMADA TRIPLA P/REDE CANALIZADA DE OXIGENIO C/ VALVULA DE RETENCAO.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;TOMADA TRIPLA P/REDE CANALIZADA DE OXIGENIO C/ VALVULA DE RETENCAO;;;;;;;;;;;;;;;;;;;
548;ÁLCOOL ETÍLICO,Tipo: hidratado, Teor Alcoólico: 96,00 % (96,00° GL), Apresentação: líquido, Unidade De Fornecimento: frasco com 1000 mll;R$ 50.000,00;FR;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ÁLCOOL ETÍLICO;;;;;;;;;;;;;;;;;;;
562;DETERGENTE,Composição: ph neutro,glicerinado, Aspecto Físico: líquido, Aplicação: para pia, Características  Adicionais: Altamente Concentrado Biodegradável,ausência de    eletrolitos espessantes,Unidade De Fornecimento: frasco com 500 ml;R$ 43.774,00;FR;NAGMP;R$ 0,00;R$ 786,00;R$ 2.740,00;R$ 0,00;R$ 0,00;R$ 2.700,00;R$ 6.226,00;DETERGENTE;;;;;;;;;;;;;;;;;;;
568;LÃ DE AÇO-ESPONJA,Material: lã de aço, Peso: 60 g, Unidade De Fornecimento: pacote com 8 unidades.;R$ 49.307,00;UN;NAGMP;R$ 0,00;R$ 693,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 693,00;LÃ DE AÇO-ESPONJA;;;;;;;;;;;;;;;;;;;
572;CATETER RADIOPACO P/ACESSO VENOSO DUPLO LUMEM N. 16;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CATETER RADIOPACO P/ACESSO VENOSO DUPLO LUMEM N;;;;;;;;;;;;;;;;;;;
588;SABÃO COCO,Composição Básica: coco natural, Aspecto Físico: sólido, Unidade De Fornecimento: barra de 200 gramas;R$ 48.515,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 1.485,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1.485,00;SABÃO COCO;;;;;;;;;;;;;;;;;;;
589;SABÃO COMUM, Composição: básica glicerinado, Aspecto Físico: sólido, Unidade De Fornecimento: barra de 200 gramas;R$ 49.100,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 900,00;R$ 0,00;R$ 0,00;R$ 900,00;SABÃO COMUM;;;;;;;;;;;;;;;;;;;
590;RODIZIO DE 4\'\' C/FREIO E GIRATORIO MARCA RODICAR. 1;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;"RODIZIO DE 4""";;;;;;;;;;;;;;;;;;;
591;RODIZIO DE 4\'\' S/FREIO E FIXO MARCA RODICAR. 1;R$ 50.000,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;"RODIZIO DE 4""";;;;;;;;;;;;;;;;;;;
612;CODEINA (FOSFATO) COMPRIMIDO 30MG;R$ 50.000,00;CP;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CODEINA (FOSFATO) COMPRIMIDO 30MG;;;;;;;;;;;;;;;;;;;
619;PAPEL CÓPIA XEROGRÁFICA,  Material: sulfite, Gramatura: 75g/m2, Comprimento: 297 mm, Largura: 210 mm, Cor: branca, Unidade De Fornecimento: pacote com 500 folhas, Formato A4. Fornecimento: Resma pacote com 500 folhas, Formato: A-4.;R$ 38.924,60;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 11.075,40;R$ 0,00;R$ 0,00;R$ 0,00;R$ 11.075,40;PAPEL CÓPIA XEROGRÁFICA;;;;;;;;;;;;;;;;;;;
654;METADONA (CLORIDRATO) COMPRIMIDO 10 MG;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;METADONA (CLORIDRATO) COMPRIMIDO 10 MG;;;;;;;;;;;;;;;;;;;
676;ROLAMENTO 6308-Z PRIMEIRA LINHA.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ROLAMENTO 6308-Z PRIMEIRA LINHA;;;;;;;;;;;;;;;;;;;
694;SINVASTATINA COMPRIMIDO 20 MG.;R$ 50.000,00;CP;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;SINVASTATINA COMPRIMIDO 20 MG;;;;;;;;;;;;;;;;;;;
695;SINVASTATINA COMPRIMIDO 40 MG.;R$ 50.000,00;CP;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;SINVASTATINA COMPRIMIDO 40 MG;;;;;;;;;;;;;;;;;;;
802;FILME RADIOLÓGICO, Tamanho: 18 x 24 cm, Aplicação: exames radiológicos, Características Adicionais:  ortocromáticos, sensível  a écrans intensificadores de luz verde e que permita manuseio com luz de segurança e processamento automático, Ciclo Rápido: ( 48 segundos ), Padrão: estendido, Apresentação: caixa com 100 películas.;R$ 50.000,00;CX;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00; FILME RADIOLÓGICO;;;;;;;;;;;;;;;;;;;
805;CONJUNTO PARA DETERMINAÇAO DE MICROPROTEINA EM URINA E LIQUIDOS BIOLOGICOS.Aplicação:analise bioquimica. Características adicionais: equipamento automatizado. Forma de Apresentação:conjunto (kit). Prazo de Validade: 75% do prazo de validade do produto.;R$ 50.000,00;TE;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CONJUNTO DETERMINAÇÃO MICROPROTEINA;;;;;;;;;;;;;;;;;;;
808;CLIPE, Material: metal, Tratamento Superficial: niquelado, Tamanho nº 02, Unidade de Fornecimento:  caixa com 100 .;R$ 50.000,00;CX;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CLIPE;;;;;;;;;;;;;;;;;;;
812;ESPECULO VAGINAL DESCART. C/VALVULAS, LARG.25MM, COMP. ACIMA DE105MM C/PARAFUSO QUE ABRE AS VALVULAS, ESTERIL OU NAO ESTERIL. ;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ESPECULO VAGINAL DESCART;;;;;;;;;;;;;;;;;;;
814;ESPECULO VAGINAL DESCART.C/VALVULAS LARG.32MM,COMP.ACIMA  DE105MM C/PARAFUSO QUE ABRE AS VALVULAS,ESTERIL OU NAO ESTERIL;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ESPECULO VAGINAL DESCART;;;;;;;;;;;;;;;;;;;
852;PAPEL TERMO SENSIVEL 5,7CM X 25M, Aplicação: aparelho de gasometria ABL/30 ou similar, Referência: 8217A, Forrma De Apresentação: rolo com 5,7 cm x 25 m, Unidade De Fornecimento: rolo com 5,7 cm x 25 m.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PAPEL TERMO SENSIVEL 5;;;;;;;;;;;;;;;;;;;
866;BOLSA PARA ESTOMIA RETRAÍDA ADULTO TRANSPARENTE 1 PEÇA, NÃO ESTÉRIL. Aplicação: drenagem de fezes para portadores de estomia intestinal. Material: bolsa plástica com base adesiva e  protetora em resina sintética composta de carboximetilcelulose sódica associada à gelatina e/ou pectina. Tamanho/Capacidade: saco coletor transparente com comprimento e largura mínima de 20 cm e 12 cm respectivamente, base protetora com diâmetro recortável entre 15 mm e 50 mm, convexidade de 1,58mm a 6,35mm. protegida por invólucro plástico silencioso, resistente e que não desprenda facilmente do conjunto. Características Adicionais: bolsa sistema de uma peça, retraída. Saco coletor transparente e drenável, composto por duas películas plásticas, antiodor, atóxica, silenciosas, macias, hipoalergênica com selagem de alta resistência nas bordas, assegurando a integridade do saco e tela protetora não aderente, resistente e que não desprenda facilmente do conjunto, com filtro antiodor acoplado, com proteção que não permita contato com líquidos e/ou efluentes, acompanhado de no mínimo 1(um) clamp para cada 10 bolsas, resistente, com pontas que não provoque lesão ao paciente, que permita perfeito fechamento da área de drenagem, sem extravasamento de efluentes, favorecendo o manuseio e higienização da mesma. ;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BOLSA PARA ESTOMIA RETRAÍDA ADULTO TRANSPARENTE 1 PEÇA;;;;;;;;;;;;;;;;;;;
958;BRITA, Material: Rocha fragmentada,  Tamanho: brita nº 1.;R$ 50.000,00;M3;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BRITA;;;;;;;;;;;;;;;;;;;
985;CIMENTO PORTLAND, Composição: cimento portland composto com filer calcáreo em teor entre 6 a 10%, Classe: CP II - F - 32, Cor: cinza.;R$ 50.000,00;SC;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CIMENTO PORTLAND;;;;;;;;;;;;;;;;;;;
1131;COMPENSADO, Material: sumauma, Comprimento: 2,20 m, Largura: 1,60 m, Espessura: 0,006 m, Características Adicionais: 1ª qualidade;R$ 50.000,00;FL;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;COMPENSADO;;;;;;;;;;;;;;;;;;;
1148;BROMOCRIPTINA (MESILATO) COMPRIMIDO 2,5MG;R$ 50.000,00;CP;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BROMOCRIPTINA (MESILATO) COMPRIMIDO 2;;;;;;;;;;;;;;;;;;;
1180;PAPILOTOMO DUPLO LUMEN C/CONEXAO EM 3 VIAS E VIA P/LIMPEZA DE CANAL DE FIO DE CORTE TIPO PONTA FINA C/CORTE DE 25MM;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PAPILOTOMO DUPLO LUMEN C/CONEXAO EM 3 VIAS E VIA P/LIMPEZA DE CANAL DE FIO DE CORTE TIPO PONTA FINA C/CORTE DE 25MM;;;;;;;;;;;;;;;;;;;
1205;FITA MÉTRICA, Material: tecido encerado, Comprimento: 1,50 m, Graduação: graduada em cm, Características: medidas nos dois lados da fita.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;FITA MÉTRICA;;;;;;;;;;;;;;;;;;;
1222;ALMOFADA AZUL P/CARIMBO ENTINTAMENTO PERMANENTE 7X12CM.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ALMOFADA AZUL P/CARIMBO ENTINTAMENTO PERMANENTE 7X12CM;;;;;;;;;;;;;;;;;;;
1231;PINCEL ATOMICO, -Material Corpo: plástico, Tipo Escrita: grossa, Tamanho: 10 cm, Cor: azul, Tipo Ponta: redonda. ;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;PINCEL ATOMICO;;;;;;;;;;;;;;;;;;;
1289;GAS LIQUEFEITO DE PETROLEO -GLP, Material: gás butano, Unidade fornecimento: botijão com 13 quilos;R$ 50.000,00;BT;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;GAS LIQUEFEITO DE PETROLEO -GLP;;;;;;;;;;;;;;;;;;;
1297;ABRAÇADEIRA de nylon T-20 ;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;ABRAÇADEIRA de nylon T-20 ;;;;;;;;;;;;;;;;;;;
1362;FIO GUIA HIDROFILICO EM NITINOL ZEBRADO  0,035\' E CATETER COM 400 CM DE COMPRIMENTO.AUTOCLAVÁVEL.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;FIO GUIA HIDROFILICO EM NITINOL ZEBRADO  0;;;;;;;;;;;;;;;;;;;
1378;KIT P/GASTROSTOMIA ENDOSCOPICA SISTEMA PULL MODELO ADULTO;R$ 50.000,00;UN;NFH;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;KIT P/GASTROSTOMIA ENDOSCOPICA SISTEMA PULL MODELO ADULTO;;;;;;;;;;;;;;;;;;;
1547;CAPACITOR 470 MF 25V ELETROLITICO;R$ 49.775,00;UN;NUAL;R$ 0,00;R$ 0,00;R$ 225,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 225,00;CAPACITOR 470MF;;;;;;;;;;;;;;;;;;;
1694;COLUNA C/RESINA TROCADORAS DE IONS P/DEIONIZADORES DA M/PERMUTION OU SIMILAR;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;COLUNA C/RESINA TROCADORAS DE IONS P/DEIONIZADORES DA M/PERMUTION OU SIMILAR;;;;;;;;;;;;;;;;;;;
1826;"COMPENSADO; Material: Sumauma; Comprimento: 2,20m; largura: 1,60m; espessura: 0,015m; Características adicionais: 1ª qualidade.";R$ 50.000,00;FL;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;COMPENSADO;;;;;;;;;;;;;;;;;;;
1887;"BRAÇADEIRA; Material: metal; tipo: copinho; Diâmetro: ¾ polegadas com bucha S-6.";R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;BRAÇADEIRA;;;;;;;;;;;;;;;;;;;
1961;VÁLVULA REDUTORA DE PRESSÃO, Aplicação: utilizadas em cilindros de ar comprimido medicinal, reduzem a pressão do gás a um  determinado fluxo, características adicionais: corpo em monobloco de metal, monômetro de alta, pressão graduada até 300 Kgfcm2, filtro de entrada em bronze sintetizado para retenção de partículas, vazão máxima de fluxo: 60 l/ min, pressão de saída fixa, 01 estágio, precisão + ou - 10%, conexão de entrada e saída normatizada pela ABNT, cor: amarela.;R$ 50.000,00;UN;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;VÁLVULA REDUTORA DE PRESSÃO;;;;;;;;;;;;;;;;;;;
2006;LIXA PARA MADEIRA , Referência Grão: nº 100, Dimensões: 120 x 200 mm, Características Adicionais: costado de papel.;R$ 50.000,00;FL;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;LIXA PARA MADEIRA ;;;;;;;;;;;;;;;;;;;
2032;FILME PLÁSTICO PVC,Aplicação: embalagem de produtos, Comprimento: 250 m, Largura: 50 cm, Unidade De Fornecimento: bobina, Características Adicionais: bobina de papel filme plástico, em PVC, esticável, transparente.;R$ 50.000,00;RL;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;FILME PLÁSTICO PVC;;;;;;;;;;;;;;;;;;;
2127;"CAIBRO madeira; Material: Castanheira; Dimensões: 0,05x0,05x4m.";R$ 50.000,00;MT;NAGMP;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;CAIBRO madeira;;;;;;;;;;;;;;;;;;;
2132;FERRO DE SOLDA 220VSX35W 1;R$ 49.895,00;UM;NUAL;R$ 0,00;R$ 0,00;R$ 70,00;R$ 35,00;R$ 0,00;R$ 0,00;R$ 105,00;FERRO DE SOLDA 220VSX35W 1;;;;;;;;;;;;;;;;;;;
2215;JOGO DE CHAVE DE BOCA;R$ 50.000,00;JG;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;JOGO DE CHAVE DE BOCA;;;;;;;;;;;;;;;;;;;
2219;"JOGO DE CHAVES DE FENDA,Haste: em aço cromo vanadio, temperado, Acabamento: niquelado, Ponta: fosfatizada, Cabo :  em PVC Características Adicionais: 01 de 03 x 125 mm (1/8 x 5 pol);  01 de 05 x 125 mm ( 3/16 x 5 pol ) e 01 de 06 x 100 mm ( 1/4 x 4 pol).";R$ 49.900,02;JG;NUAL;R$ 0,00;R$ 0,00;R$ 0,00;R$ 99,98;R$ 0,00;R$ 0,00;R$ 99,98;JOGO CHAVE FENDA;;;;;;;;;;;;;;;;;;;
