Entradas; 2.786.847,51 ;Empenhado;;;;;;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;;Responsável;;Item;;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;;Empresa;;Qtd. A;V. unitário;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
039/2020;NECFM;27/07/2020;00060-00312421/2020-19;Oberdan;527/2020;1;MEI01;1;;;Conserto de Medidor de Icterícia, Marca DRAGER, Modelo JM 105, Nº Patrimônio 1363983.;Serviço;1;MEDIC VITALL (703910);34.782.400/0001-18;1;2800,0000000; R$2.800,00 ;23/09/2020;70;29/09/2020;30/09/2020;01/10/2020;18194;11/11/2020;6;;;;;;
109/2020;NUAL;08/06/2020;00060-00237931/2020-08;Robson;357/2020;1;35479;2;X;X;CAIXA ORGANIZADORA,Material: poliestireno de alta densidade e/ou polipropileno, Tamanho/Capacidade: 70 LITROS, Características Adicionais: reforçada, com tampa, empilhável, Altura: mínimo 35 cm, Largura: mínimo 35,5 cm, Comprimento: mínimo 71 cm, Cor: branca ou transparente.;UN;10;CIA SUPRIMENTOS (703699);34.384.756/0001-01;10;109,9900000; R$1.099,90 ;09/06/2020;83;30/06/2020;30/06/2020;30/06/2020;3295;20/07/2020;4;;;;;;ABAIXADOR DE LINGUA CONVENCIONAL EM MADEIRA
045/2020;NECFM;08/09/2020;00060-00380603/2020-12;Guilherme;616/2020;1;9856;1;X;X;VALVULA DE SEGURANCA P/EXCESSO DE PRESSAO REF.20091 1 (COMPATÍVEL COM AUTOCLAVE HORIZONTAL DIGITALE);UN;1;MEDIC VITALL (703910);34.782.400/0001-18;1;240,0000000; R$240,00 ;28/09/2020;83;09/11/2020;10/11/2020;12/11/2020;31346;02/12/2020;6; VIDE IMAGEM NO PROJETO;;;;;
035/2020;NECFM;08/07/2020;00060-00293914/2020-42;Oberdan;477/2020;1;75217;1;X;X;DIAFRAGMA REF. 2704 1;UN;22;MEDIC VITALL (703910);34.782.400/0001-18;22;60,0000000; R$1.320,00 ;23/09/2020;84;09/11/2020;10/11/2020;12/11/2020;31333;02/12/2020;6;;;;;;LOSARTANA POTASSICA COMPRIMIDO REVESTIDO 50 MG
445/2020;NFH;29/09/2020;00060-00411363/2020-13;Robson;654/2020;1;92445;6;X;X;SONDA DE FOLEY 2 VIAS LÁTEX Nº 14. Aplicação: para drenagem e controle da diurese e irrigação vesical. Material: Látex atóxico.  Características Adicionais: estéril, descartável, siliconizada, medindo no mínimo 40 cm, apresentando flexibilidade e maleabilidade adequado ao fim a que se destina, que não cause irritação ao paciente, apresentando espessura uniforme, isenta de manchas ou quaisquer defeitos, balão com capacidade de 05 a 15 ml e boa distensibilidade, com válvula fixa que permita perfeita adaptação em seringas. Ponta arredondada e fechada, apresentando 02 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro, isentos de rebarbas e/ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotada nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a integridade e esterilidade do produto. Apresentação: embalagem individual, acondicionada em caixa com 10 unidades. Unidade de Estoque: unidade (UN). Código SES: 092445. BR0279768;UN;100;GA HOSPITALAR (703786);37.014.586/0001-53;100;3,7700000; R$377,00 ;08/10/2020;87;14/10/2020;15/10/2020;21/10/2020;15924;09/11/2020;6;EMAIL 14/10 PDPASHRG;;;;;
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;1;31643;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição:TUNGSTÊNIO. Tamanho/Capacidade: Eletrodo médico de 75 mm tipo bola de 4,76 de diâmetro. Característicasadicionais:    A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURIS ELÉTRICOS DA MARCA WEM.    ;UN;5;M. G. PAULIN (703811);33.132.331/0001-34;5;48,6000000; R$243,00 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;VERNIZ DENTÁRIO
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;2;31644;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição:TUNGSTÊNIO. Tamanho/Capacidade: Eletrodo médico de 75 mm tipo bola de 3,96 de diâmetro. Características adicionais:    A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURIS ELÉTRICOS DA MARCA WEM   ;UN;5;M. G. PAULIN (703811);33.132.331/0001-34;5;48,6000000; R$243,00 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;JALECO P
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;3;31645;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição:TUNGSTÊNIO. Tamanho/Capacidade:Alça de LEEP retangular LRT 1015. Características adicionais:    A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURIS ELÉTRICOS DA MARCA WEM.;UN;10;M. G. PAULIN (703811);33.132.331/0001-34;10;63,1800000; R$631,80 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;JALECO M
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;4;31646;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição: TUNGSTÊNIO. Tamanho/Capacidade: Alça de LEEP retangular LRT 1008.  Características adicionais:A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURIS ELÉTRICOS DA MARCA WEM.;UN;10;M. G. PAULIN (703811);33.132.331/0001-34;10;63,1800000; R$631,80 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;JALECO G
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;5;31647;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição: TUNGSTÊNIO. Tamanho/Capacidade: Alça de LEEP meia alça LMA 808. Características adicionais: A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURIS ELÉTRICOS DA MARCA WEM.;UN;10;M. G. PAULIN (703811);33.132.331/0001-34;10;63,1800000; R$631,80 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;CAL SODADA
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;6;31648;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição:TUNGSTÊNIO. Tamanho/Capacidade: Alça de LEEP alça redonda LR 405. Característicasadicionais:    A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURISELÉTRICOS DA MARCA WEM.;UN;10;M. G. PAULIN (703811);33.132.331/0001-34;10;63,1800000; R$631,80 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;CURATIVO DE HIDROFIBRA
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;7;31649;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição: TUNGSTÊNIO. Tamanho/Capacidade: Alça de LEEP meia alça LMA 1010. Características adicionais:  A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURISELÉTRICOS DA MARCA WEM.;UN;10;M. G. PAULIN (703811);33.132.331/0001-34;10;63,1800000; R$631,80 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;0
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;8;31650;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição:TUNGSTÊNIO. Tamanho/Capacidade: Alça de LEEP meia alça LMA 1510. Características adicionais: A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURIS ELÉTRICOS DA MARCA WEM.;UN;20;M. G. PAULIN (703811);33.132.331/0001-34;20;63,1800000; R$1.263,60 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;0
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;9;31651;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição:TUNGSTÊNIO. Tamanho/Capacidade Alça: de LEEP meia alça LMA 2015. Características adicionais:A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURIS ELÉTRICOS DA MARCA WEM.;UN;10;M. G. PAULIN (703811);33.132.331/0001-34;10;63,1800000; R$631,80 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;BATERIA RECARREGÁVEL PARA DESFIBRILADOR/CARDIOVERSOR MODELO M-SERIES - ZOLL Indicada para reposição em Cardioversor/ Desfibrilador ZOLL
061/2020;NFH;04/03/2020;00060-00083625/2020-37;Clayton;082/2020;10;31652;1;X;X;ELETRODO DE BISTURI ELÉTRICO DESTINADO ÀS BIÓPSIAS DE COLO DO ÚTERO. Aplicação (finalidade): PRODUTO DESTINADO ÀS BIÓPSIAS E TRATAMENTO DAS LESÕES PRECURSORAS DE CÂNCER DE COLO UTERINO. SERÃO UTILIZADAS NOS AMBULATÓRIOS DE COLPOSCOPIAS E TAMBÉM EM CENTRO CIRÚRGICO PARA CIRURGIAS DE CONIZAÇÕES. Composição:TUNGSTÊNIO. Tamanho/Capacidade: Alça de LEEP meia alça LMA 2020. Características adicionais:    A HASTE DE ENCAIXE DEVE SER COMPATÍVEL COM CANETAS DE BITURISELÉTRICOS DA MARCA WEM.;UN;10;M. G. PAULIN (703811);33.132.331/0001-34;10;63,1800000; R$631,80 ;17/03/2020;94;07/04/2020;14/04/2020;16/04/2020;98804;30/04/2020;2;;;;;;
015/2020;NUAL;20/02/2020;00060-00072203/2020-36;Clayton;072/2020;1;21222;2;X;X;ESCOVA PARA UNHAS, Material: sintético, Dimensões: 2,5 x 8 cm, Unidade De Estoque: unidade (UN), Unidade De Fornecimento: unidade;UN;1080;IMPRIMINDO (703535);31.456.997/0001-12;250;2,9900000; R$747,50 ;03/03/2020;100;13/03/2020;13/03/2020;13/03/2020;84070;26/03/2020;2;;;;;;LUVA CIRURGICA CONVENCIONAL Nº 8
115/2020;NUAL;24/06/2020;00060-00253990/2020-15;Robson;425/2020;1;2219;1;X;X;"JOGO DE CHAVES DE FENDA,Haste: em aço cromo vanadio, temperado, Acabamento: niquelado, Ponta: fosfatizada, Cabo :  em PVC Características Adicionais: 01 de 03 x 125 mm (1/8 x 5 pol);  01 de 05 x 125 mm ( 3/16 x 5 pol ) e 01 de 06 x 100 mm ( 1/4 x 4 pol).";JG;2;IMPRIMINDO (703535);31.456.997/0001-12;2;49,9900000; R$99,98 ;06/07/2020;126;13/07/2020;14/07/2020;17/07/2020;53882;03/08/2020;4;;;;;;FRALDA DESCARTÁVEL ADULTO XG
017/2020;NECFM;07/05/2020;00060-00187282/2020-89;Oberdan;219/2020;1;VME05;1;;;Conserto em Aparelho VENTILADOR MECÂNICO PULMONAR, marca Maquet, nº patrimônio 1001783;Serviço;1;SEGLINE ();19.664.989/0001-66 ;1;7598,0000000; R$7.598,00 ;10/06/2020;127;04/08/2020;05/08/2020;12/08/2020;63829;18/08/2020;4;;;;;;BANDAGEM - bandagem
017/2020;NECFM;07/05/2020;00060-00187282/2020-89;Oberdan;219/2020;2;VME06;1;;;Conserto em Aparelho VENTILADOR MECÂNICO PULMONAR, marca Maquet, nº patrimônio 1001784;Serviço;1;SEGLINE ();19.664.989/0001-66 ;1;7598,0000000; R$7.598,00 ;10/06/2020;127;04/08/2020;05/08/2020;12/08/2020;63829;18/08/2020;4;;;;;;BANDAGEM - bandagem
017/2020;NECFM;07/05/2020;00060-00187282/2020-89;Oberdan;219/2020;3;VME02;1;;;Conserto de ventilador mecânico da marca MAQUET, modelo SERVO-S, chapa patrimonial Nº 1001752;Serviço;1;SEGLINE ();19.664.989/0001-66 ;1;7598,0000000; R$7.598,00 ;10/06/2020;127;04/08/2020;05/08/2020;12/08/2020;63829;18/08/2020;4;;;;;;SERINGAS VAZIAS
017/2020;NECFM;07/05/2020;00060-00187282/2020-89;Oberdan;219/2020;4;VME07;1;;;Conserto em Aparelho VENTILADOR MECÂNICO PULMONAR, marca Maquet, nº patrimônio 020448;Serviço;1;SEGLINE ();19.664.989/0001-66 ;1;7598,0000000; R$7.598,00 ;10/06/2020;127;04/08/2020;05/08/2020;12/08/2020;63829;18/08/2020;4;;;;;;NITRATO DE PRATA SOLUCAO OFTALMICA 1 % FRASCO 2
017/2020;NECFM;07/05/2020;00060-00187282/2020-89;Oberdan;219/2020;5;VME08;1;;;Conserto em Aparelho VENTILADOR MECÂNICO PULMONAR, marca Maquet, nº patrimônio 020450;Serviço;1;SEGLINE ();19.664.989/0001-66 ;1;7598,0000000; R$7.598,00 ;10/06/2020;127;04/08/2020;05/08/2020;12/08/2020;63829;18/08/2020;4;;;;;;SULFATO DE MAGNESIO SOLUCAO INJETAVEL 10 % AMPOLA 10 ML
035/2020;NFH;30/01/2020;00060-00037347/2020-46;Clayton;035/2020;2;92402;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 7,5 EM LATEX ESTERIL.  Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;10000;ALFA (703521);30.337.889/0001-68;10000;0,8800000; R$8.800,00 ;31/01/2020;167;04/02/2020;04/02/2020;05/02/2020;73955;09/03/2020;2;;;;;;TALA METÁLICA PARA IMOBILIZAÇÃO DE DEDO 19MM X 180MM
066/2020;NFH;11/03/2020;00060-00097288/2020-65;Jefferson;091/2020;1;92402;8;X;X;LUVA CIRURGICA CONVENCIONAL Nº 7,5 EM LATEX ESTERIL.  Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5000;ALFA (703521);30.337.889/0001-68;400;0,8800000; R$352,00 ;19/03/2020;192;20/03/2020;20/03/2020;24/03/2020;90463;14/04/2020;2;;;;;;EQUIPO SIMPLES PARA INFUSÃO DE SOLUÇÕES PARENTERAIS
