Name;Acrilico;Diversos / Problematico;Eletrica, Hidra˙lica, Marcenaria, Serralheria;Equipamentos - PeÁas e ServiÁos;Fios de Sutura;Fisioterapia;Gases Medicinais;Instrumental Cir˙rgico;LaboratÛrio;Lavanderia, Hotelaria;Medicamentos;Material Medico;Odonto;Papelaria, Inform·tica;Radiologia;ServiÁos Gr·ficos;DedetizaÁ„o;;;;;;;;;;;;;;;
AGIMED 2;;;;X;;;;;;;;;;;;;;secretarias@agimed.com.br;;;;;;;;;;;;;;
AGW COMEX;;;;;;;;;X;;X;X;;;;;;contato@agwcomex.com.br;;;;;;;;;;;;;;
AIR LIQUIDE - CESAR;;;;;;;X;;;;;;;;;;;cesar.ambrosi@airliquide.com;;;;;;;;;;;;;;
AIR LIQUIDE - JOSEANE;;;;;;;X;;;;;;;;;;;joseane.silva@airliquide.com;;;;;;;;;;;;;;
AIR LIQUIDE - MARILENE;;;;;;;X;;;;;;;;;;;marilene.silva@airliquide.com;;;;;;;;;;;;;;
AJUSTE SERVICE;X;;;X;;;;;;;;;;X;;X;;manoel@ajusteservice.com.br;;;;;;;;;;;;;;
ALCON;;;;;;;;;;;X;;;;;;;danilo.novaes@alcon.com;;;;;;;;;;;;;;
ALERE;;;;;;;;;;;X;;;;;;;licitacao.br@alere.com;;;;;;;;;;;;;;
ALEX SARKIS;;;;X;;;;;;;;;;;;;;alexaco@terra.com.br;;;;;;;;;;;;;;
ALFA HOSPITALAR;;;;;;;;;X;;X;X;;;;;;alexcilenio@alfahospitalar.bsb.br;;;;;;;;;;;;;;
ALFA HOSPITALAR;;;;;;;;;;;x;X;;;;;;comercial@alfahospitalar.bsb.br;;;;;;;;;;;;;;
ALIAN«A;;;;;X;;;X;X;X;X;X;X;;X;;;gis_galvao@hotmail.com;;;;;;;;;;;;;;
ALIMED;;;;;;;;;;;;X;;;;;;alimedprodutos2@gmail.com;;;;;;;;;;;;;;
ALIMED DF;;;;;;;;X;X;X;;X;X;;X;;;vendasalimed1@gmail.com;;;;;;;;;;;;;;
ALKA ;;;;X;;;;;X;;;;;;;;;marcia.pacheco@vyttra.com;;;;;;;;;;;;;;
ALLIMED 2;;x;;;;;;;;;;;;;;;;vendasdf@allimed.com.br;;;;;;;;;;;;;;
ALMOXARIFADO - HRG;;X;;;;;;;;;;;;;;;;nmp.hrg@gmail.com;;;;;;;;;;;;;;
ALMOXARIFADO - HRSM;;X;;;;;;;;;;;;;;;;numaphrsm@hotmail.com;;;;;;;;;;;;;;
AMICI DISTRIBUIDORA;X;;;;;;;;;;;;;X;;;;comercial@amicidistribuidora.com.br;;;;;;;;;;;;;;
AMICI FARMA;;;;;;;;;X;;;X;;;;;;comercial@amicifarma.com.br;;;;;;;;;;;;;;
AMICI FARMA;;;;;;;;;;;X;X;;X;;;;vendas@amicifarma.com.br;;;;;;;;;;;;;;
AMPLAMED;;;;X;;;;;;;;;;;;;;amplamed@live.com;;;;;;;;;;;;;;
ANMED;;;;X;;;;;;;;;;;;;;anmed@anmed.com.br;;;;;;;;;;;;;;
ANMED 2;;;;X;;;;;;;;;;;;;;atendimento@anmed.com.br;;;;;;;;;;;;;;
Antartida Refrigeracao;;;X;X;;;;;;;;;;;;;;c.antartidarefrigeracao@yahoo.com.br;;;;;;;;;;;;;;
ANTIBI”TICOS DO BRASIL;;;;;;;;;;;X;;;;;;;ebbezerra@ablbrasil.com.br;;;;;;;;;;;;;;
APOLLO;;;;;;;;;;;X;X;;;;;;licitacoes@apollo-med.com.br;;;;;;;;;;;;;;
ARS PAPELARIA - Anilson;;;X;;;;;;;X;;;;X;;;;anilson.ramos2@gmail.com;;;;;;;;;;;;;;
ARTHEMUS;;;X;;;;;;X;X;;X;X;X;;;;compras@arthemusatacadista.com.br;;;;;;;;;;;;;;
ARTHEMUS - Rafael;;;X;;;;;;X;X;;X;X;X;;;;rafael.martins@arthemusatacadista.com.br;;;;;;;;;;;;;;
AS3 HOSPITALAR;;;;;;;;;X;X;X;X;X;;X;;;as3@as3hospitalar.com;;;;;;;;;;;;;;
ASSEMEDH DF - RARIANNE;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;;contato@assemedh.org.br;;;;;;;;;;;;;;
ASSISTRONIC;;X;;;;;;;;;;;;;;;;contato@assistronic.com.br;;;;;;;;;;;;;;
ASTEM;;;;X;;;;;;;;X;;;;;;luana.astem@gmail.com;;;;;;;;;;;;;;
ASTEM - FABIO;;;;X;;;;;;;;X;;;;;;fabio@astembsb.com;;;;;;;;;;;;;;
ASTEM - KAROLINE;;;;X;;;;;;;;X;;;;;;adm02@astembsb.com;;;;;;;;;;;;;;
ASTEM - LEWANDER;;X;;;;;;;;;;;;;;;;natalia@astembsb.com;;;;;;;;;;;;;;
Asthamed;;;;;;;;;X;;X;X;X;;;;;vendas07@asthamed.com.br;;;;;;;;;;;;;;
ATAXMED;;;;X;;;;X;X;X;X;X;X;X;X;;;vendas@ataxmed.com.br;;;;;;;;;;;;;;
ATAXMED;;;;;;;;;;;;;;;;;X;comercial@ataxmed.com.br;;;;;;;;;;;;;;
ATD;;;;;;;;;X;;;X;;;;;;atd.diagnostica@gmail.com;;;;;;;;;;;;;;
ATELIER AQUARIO;;;;;;;;;;X;;;;;;;;atelieraquario@hotmail.com;;;;;;;;;;;;;;
AUROBINDO;;;;;;;;;;;X;;;;;;;juliana.silva@aurobindo.com.br;;;;;;;;;;;;;;
AWMED - ARTWARE;;;X;X;;;;X;X;X;X;X;X;X;;;;awmedbrasil@gmail.com;;;;;;;;;;;;;;
AXON;;;;X;;;;;;;;X;;;;;;apoio@axonbr.com;;;;;;;;;;;;;;
BANCO DE LEITE - HRSM;;X;;;;;;;;;;;;;;;;blhhrsm@gmail.com;;;;;;;;;;;;;;
BARRFAB;;;;X;;;;;;;;;;;;;;posvendas@barrfab.com.br;;;;;;;;;;;;;;
BASZI;;;;;;;;;;;X;X;;;;;;baszicomercial@hotmail.com;;;;;;;;;;;;;;
BASZI - LEONARDO;;;;;;;;;;X;X;X;;;;;;leonardo.compras@hotmail.com;;;;;;;;;;;;;;
BAUMER;;;;X;;;;;;;;;;;;;;baumer@baumer.com.br;;;;;;;;;;;;;;
BAUMER;;;;X;;;;;;;;;;;;;;dolmiro.junior@baumer.com.br;;;;;;;;;;;;;;
BBRAUN - CRISTIANE;;;;;;;;;X;;;X;;;;;;cristiane.silva@bbraun.com;;;;;;;;;;;;;;
BBRAUN - LUIZ;;;;;;;;;X;;;X;;;;;;luiz.faria@bbraun.com;;;;;;;;;;;;;;
befbrasil;;;;X;;;;;;;;;;;;;;contato@hospitalardelta.com.br;;;;;;;;;;;;;;
BELBI;;;;;;;;;;X;;X;;;;;;licitacoes@belbidistribuidora.com.br;;;;;;;;;;;;;;
BHIO SUPPLY;;;;;;;;;;;;X;;;;;;denise.dias@bhiosupply.com.br;;;;;;;;;;;;;;
BIOCORES;;;;;;;;;;;X;X;;;;;;biocores@uol.com.br;;;;;;;;;;;;;;
BIOLINE - NATALIA;;;;;X;;;;;;;;;;;;;licitacao3@biolinefios.com.br;;;;;;;;;;;;;;
BIOLINE - RENATA;;;;;X;;;;;;;;;;;;;licitacao@biolinefios.com.br;;;;;;;;;;;;;;
BIOLINE DF;;;;;X;;;;;;;;;;;;;biolinedf@outlook.com;;;;;;;;;;;;;;
BIOLOG;;;;X;;;;;;;;;;;;;;vendas@biolog.com.br;;;;;;;;;;;;;;
BIOLOG - CELIA;;;;X;;;;;;;;;;;;;;celia@biolog.com.br;;;;;;;;;;;;;;
BIOLOG - DEUSIMAR;;;;X;;;;;;;;;;;;;;deusimar@biolog.com.br;;;;;;;;;;;;;;
BIOLOG - PINEDO;;;;X;;;;;;;;;;;;;;pinedo@biolog.com.br;;;;;;;;;;;;;;
BIOPHAR;X;;;;;;;X;X;X;X;X;X;;X;;;vendas1biopharmedicamentos@gmail.com;;;;;;;;;;;;;;
BIOSHOP;;;;;;;;;;;X;X;;;;;;jeancarlonetto@gmail.com;;;;;;;;;;;;;;
BIOSYS - JUCELIO;;;;;;;;;;;;X;;;;;;juceliobsb@gmail.com;;;;;;;;;;;;;;
BIOSYS - JULIANNA;;;;;;;;;;;;X;;;;;;julianna.garcia@biosys.com.br;;;;;;;;;;;;;;
BIOTECMED;;;;;;;;;;;;X;;;;;;contato@biotecmed.com.br;;;;;;;;;;;;;;
BIOTECMED - FLAVIA;;X;;;;;;;;;;;;;;;;vendas7@biotecmed.com.br;;;;;;;;;;;;;;
Biotecnica;;;;;;;;;X;;;;;;;;;miltonaires@biotecnicabsb.com.br;;;;;;;;;;;;;;
BMR MEDICAL;;;;;;;;;;;;X;;;;;;sarah@bmrmedical.com.br;;;;;;;;;;;;;;
BR DANTAI;;;;;;;;X;;;X;X;X;X;;;;brdantai@hotmail.com;;;;;;;;;;;;;;
BR DANTAI - Walmer;;;;;;;;X;;;X;X;X;X;;;;walmernaves@gmail.com;;;;;;;;;;;;;;
BRAKKO;;;;X;;;;X;;;;X;;;;;;projetos@brakko.com.br;;;;;;;;;;;;;;
BRAKKO;;;;X;;;;X;;;;X;;;;;;vendasdf1@brakko.com.br;;;;;;;;;;;;;;
BRAKKO;;;;X;;;;;;;;;;;;;;vendasdf3@brakko.com.br;;;;;;;;;;;;;;
BRAKKO 2;;;;X;;;;X;;;;X;;;;;;suporte.tecnico@brakko.com.br;;;;;;;;;;;;;;
BRAKKO 3;;X;;;;;;;;;;;;;;;;COTACAO@BRAKKO.COM.BR;;;;;;;;;;;;;;
BRAKKO 4;;;;X;;;;X;;;;X;;;;;;pedidos.ses@brakko.com.br;;;;;;;;;;;;;;
BRASALI DEDETIZADORA;;;;;;;;;;;;;;;;;X;brasalidedetizadora@gmail.com;;;;;;;;;;;;;;
Brasfreezer;;;;X;;;;;;;;;;;;;;brasfreezer@hotmail.com;;;;;;;;;;;;;;
BRASIL COMMERCE;;;;X;;;;;;;;;;;;;;ramon@brasilcommerce.net;;;;;;;;;;;;;;
BRASILIA SCIENTIFIC;;;;;;;;;;;;X;;;;;;brasiliascientific@gmail.com;;;;;;;;;;;;;;
BRASILIA SCIENTIFIC - MAURISIO;;;;;;;;;;;;X;;;;;;maurisio.brasiliascientific@gmail.com;;;;;;;;;;;;;;
BRASMEDICA;;;;X;;;;;;;;X;;;;;;brasmedica.at@gmail.com;;;;;;;;;;;;;;
BRASMEDICA;;;;X;;;;;;;;;;;;;;brasmedica@uol.com.br;;;;;;;;;;;;;;
BRASMEDICA;;;;X;;;;;;;;;;;;;;gilmar.brasmedica@yahoo.com.br;;;;;;;;;;;;;;
BRASMEDICA;;;;X;;;;;;;;;;;;;;gilmar.santos@brasmedica.net;;;;;;;;;;;;;;
BRASMEDICA - MARIA;;;;X;;;;;;;;X;;;;;;maria.oliveira@brasmedica.net;;;;;;;;;;;;;;
BRASMEDICA 2;;;;X;;;;;;;;X;;;;;;cotacao@brasmedica.net;;;;;;;;;;;;;;
BRATOX DEDETIZADORA;;;;;;;;;;;;;;;;;X;bratoxbrasilia@gmail.com;;;;;;;;;;;;;;
BRAVOLUZ;;;X;;;;;;;;;;;;;;;contato@bravoluz.com.br;;;;;;;;;;;;;;
BRAVOLUZ - CAIO;;;X;;;;;;;;;;;;;;;caio@bravoluz.com.br;;;;;;;;;;;;;;
BRB GAMA;;X;;;;;;;;;;;;;;;;ana.mourao@brb.com.br;;;;;;;;;;;;;;
BRB GAMA;;x;;;;;;;;;;;;;;;;0144@brb.com.br;;;;;;;;;;;;;;
BRB GAMA;;x;;;;;;;;;;;;;;;;gghrg@brb.com.br;;;;;;;;;;;;;;
BRB Santa Maria;;X;;;;;;;;;;;;;;;;camila.bastos@brb.com.br;;;;;;;;;;;;;;
BRB Santa Maria;;x;;;;;;;;;;;;;;;;ggsantamaria@brb.com.br;;;;;;;;;;;;;;
BSB CASAS;;;X;X;;;;;;;;;;;;;;mgcasasprefabricadas@gmail.com;;;;;;;;;;;;;;
BSB COMERCIAL;;;;;;;;X;X;;X;X;X;;;;;bsbcomhosp@gmail.com;;;;;;;;;;;;;;
BSB GASES;;;;;;;X;X;X;;;X;;;;;;comercial@bsbgases.com.br;;;;;;;;;;;;;;
BSB MEDICAL - ANA;;;;X;;;;;;;;;;;;;;ana@bsbmedical.com.br;;;;;;;;;;;;;;
BSB MEDICAL - FLAVIA;;;;X;;;;;;;;;;;;;;flavia@bsbmedical.com.br;;;;;;;;;;;;;;
BSB MEDICAL - GLEIDSON;;;;X;;;;;;;;;;;;;;gleidson@bsbmedical.com.br;;;;;;;;;;;;;;
BSB MEDICAL - ROMULO;;;;X;;;;;;;;;;;;;;romulo@bsbmedical.com.br;;;;;;;;;;;;;;
bucarengenharia;;;;X;;;;;;;;;;;;;;comercial@bucarengenharia.com.br;;;;;;;;;;;;;;
C CIRURGICO - HRG;;X;;;;;;;;;;;;;;;;moacir.cc@hotmail.com;;;;;;;;;;;;;;
CAMB;;;;;;;;;X;;;X;;;;;;licitacao@camb.com.br;;;;;;;;;;;;;;
CAMB - RICARDO;;;;;;;;;X;;;X;;;;;;ricardo@camb.com.br;;;;;;;;;;;;;;
CAMP MED;;;;;;;;;;X;;;;;;;;guedes.elis@ig.com.br;;;;;;;;;;;;;;
CAPITAL MEDH ;;;;;;;;;;;X;X;;;;;;comercial@capitalmedh.com;;;;;;;;;;;;;;
CAPITAL MEDH - Elciney;;;;;;;;;;;X;X;;;;;;elciney@capitalmedh.com;;;;;;;;;;;;;;
CARBOGRAFITE;;;;;;;X;;;;;;;;;;;gerencia06@carbografite.com.br;;;;;;;;;;;;;;
CARDIOBRAS;;X;;;;;;;;;;;;;;;;cardiobras@terra.com.br;;;;;;;;;;;;;;
CARDIOBRAZ;;;;X;;;;;;;;;;;;;;cardiobras@cardiobras.com;;;;;;;;;;;;;;
CASA DA QUIMICA;;;;;;;;;X;X;;;;;;;;weslley@casadaquimicadf.com.br;;;;;;;;;;;;;;
CASA DAS ETIQUETAS;;;;;;;;;;;;;;X;;;;casadasetiquetasbsb@gmail.com;;;;;;;;;;;;;;
CASA LIMPA DF;;;;;;;;;;;;;;;;;X;casalimpadf@hotmail.com;;;;;;;;;;;;;;
CATTIS MEDICAL;;;;;;;;X;;;;X;;;;;;camila.chagas@cattismedical.com.br;;;;;;;;;;;;;;
CATTIS MEDICAL;;;;;;;;X;;;;X;;;;;;tiago.sales@cattismedical.com.br;;;;;;;;;;;;;;
CATTIS MEDICAL;;;;;;;;X;;;;X;;;;;;cotacao@cattismedical.com.br;;;;;;;;;;;;;;
CATTIS MEDICAL;;x;;;;;;;;;;;;;;;;administrativodf@cattismedical.com.br;email nao eh encontrado;;;;;;;;;;;;;
CATTIS MEDICAL;;X;;;;;;;;;;;;;;;;administtrativodf3@cattismedical.com.br;;;;;;;;;;;;;;
CBA;;;;;;;;X;X;X;;X;;;;;;cbatmk@gmail.com;;;;;;;;;;;;;;
CBA - THIAGO;;;;;;;;X;X;X;;X;;;;;;thiagogvtcba@gmail.com;;;;;;;;;;;;;;
CEI - PAULA;;;;;;;;;;;;X;;;;;;paula.tavares@cei-brasil.com;;;;;;;;;;;;;;
CEI - THIAGO;;;;;;;;;;;;X;;;;;;tiago.perez@cei-brasil.com;;;;;;;;;;;;;;
CENTRAL M…DICA;;;;;;;;X;;;;X;;;;;;jotaray@gmail.com;;;;;;;;;;;;;;
CENTRO-OESTE;;;X;;;;;;;X;;;;;;;;agxlicitacao@gmail.com;;;;;;;;;;;;;;
CEPHEID;;;;X;;;;;;;;;;;;;;jose.wilsonpereira@cepheid.com;;;;;;;;;;;;;;
CFB MEDICAL;;;;X;;;;X;;;X;X;X;;;;;cfbmedical@cfbmedical.com.br;;;;;;;;;;;;;;
CFB MEDICAL - Celso Brun;;;;X;;;;X;;;X;X;X;;;;;celso.brun@cfbmedical.com.br;;;;;;;;;;;;;;
CIA SUPRIMENTOS;;;;X;;;;X;;X;;X;;X;;;;vendas@ciasuprimentos.com.br;;;;;;;;;;;;;;
CIA SUPRIMENTOS 2;;;;X;;;;X;;X;;X;;X;;;;ciasup.med@gmail.com;;;;;;;;;;;;;;
CIENTIFICA - Alessandra;;;;;;;;;X;;X;X;;;;;;vendas7@cientificahospitalar.com.br;;;;;;;;;;;;;;
CINCO CONFIAN«A;;;;;;;;;;;;X;;;;;;paula.tavares@cei-brasil.com;;;;;;;;;;;;;;
CIRURGIA E VIDEO;;;;x;;;;;;;;;;;;;;cirurgia.videodf@gmail.com;;;;;;;;;;;;;;
CIRURGICA ALSTYN;;;;;;;;;;;;X;;;;;;cirurgicaalstyn1@hotmail.com;;;;;;;;;;;;;;
CIRURGICA ALSTYN;;;;;;;;;;;;X;;;;;;rutelima26@hotmail.com;;;;;;;;;;;;;;
CIRURGICA DMG;;;;X;;;;X;;;;X;X;;;;;felipe@cirurgicadmg.com.br;;;;;;;;;;;;;;
CIRURGICA FERNANDES;;;;;;;;X;;;;X;;;;;;licitacao15@cfernandes.com.br;;;;;;;;;;;;;;
CIRURGICA FERNANDES - Ana;;;;;;;;X;;;;X;;;;;;abeatriz@cfernandes.com.br;;;;;;;;;;;;;;
CIRURGICA FERNANDES - Larissa;;;;;;;;X;;;;X;;;;;;lhenid@cfernandes.com.br;;;;;;;;;;;;;;
CIRURGICA FERNANDES 2;;;;;;;;X;;;;X;;;;;;barretosousarepresentacoes@gmail.com;;;;;;;;;;;;;;
CIRURGICA RIBEIR√O PRETO;;;;X;X;;;X;X;X;;X;;;;;;marcoscrpreto@terra.com.br;;;;;;;;;;;;;;
CITOPHARMA;;;;;;;;;;;X;;;;;;;jorge1@citopharma.com.br;;;;;;;;;;;;;;
CMC;;;;;;;;;;;;X;;;;;;vendascmchospitalar@hotmail.com;;;;;;;;;;;;;;
CMC HOSPITALAR;;;;;;;;X;X;X;X;X;X;X;;;;vendas02@cmchospitalar.com.br;;;;;;;;;;;;;;
COLORADO;;;;;;;;;;;X;X;;X;;;;cotacao@drogariacolorado.com.br;;;;;;;;;;;;;;
COMERCIAL 8;;;;X;;;;;X;X;;X;X;X;X;X;;comercial8.2021@gmail.com;;;;;;;;;;;;;;
COMERCIAL PLENITUDE;;;X;;;;;;;;;;;X;;;;comercialplenitude@hotmail.com;;;;;;;;;;;;;;
COMLAB;;;;X;;;;;;;;;;;;;;comlabdf@gmail.com;;;;;;;;;;;;;;
CONCERMEDICAL;;;;X;;;;;;;;;;;;;;concermedical@gmail.com;;;;;;;;;;;;;;
CONECTTA;X;;;;;;;;X;;;X;;;;;;comercialconectta@gmail.com;;;;;;;;;;;;;;
CONFITECH;;;;X;;;;;;;;;;;;;;adm@confitech.com.br;;;;;;;;;;;;;;
CONFITECH;;X;;;;;;;;;;;;;;;;confitech.vendas@terra.com.br;;;;;;;;;;;;;;
CONFITECH;;;;X;;;;;;;;;;;;;;confitech@hotmail.com;;;;;;;;;;;;;;
CONTROL THERM;;;;X;;;;;;;;;;;;;;controltherm@hotmail.com;;;;;;;;;;;;;;
CONVERGE;;;;;;;;;;;;X;;;;;;licitacaoconverge@gmail.com;;;;;;;;;;;;;;
CRISTAÅLIA ;;;;;;;;;;;X;;;;;;;concorrencia5@cristalia.com.br;;;;;;;;;;;;;;
CRISTALIA 3;;;;;;;;;;;X;;;;;;;bhz@cristalia.com.br;;;;;;;;;;;;;;
CRISTALIA 4;;;;;;;;;;;X;;;;;;;cristaliaregionalbh@gmail.com;;;;;;;;;;;;;;
CRISTALIA 5;;;;;;;;;;;X;;;;;;;hos14320@cristaliafv.com.br;;;;;;;;;;;;;;
CRISTALIA EDER;;;;;;;;;;;X;;;;;;;eder.moura@cristalia.com.br;;;;;;;;;;;;;;
CRISTALIA ORDENS D COMPRA;;X;;;;;;;;;;;;;;;;natalia.franklin@cristalia.com.br;;;;;;;;;;;;;;
CRISTALIA THAIS;;;;;;;;;;;X;;;;;;;thais.felix@cristalia.com.br;;;;;;;;;;;;;;
CRUZEIRO DEDETIZADORA;;;;;;;;;;;;;;;;;X;contato@cruzeirodedetizadora.com.br;;;;;;;;;;;;;;
CTI COMERCIO;;;;X;;;;X;;;;X;;;;;;jaime.licitacao@ctiweb.com.br;;;;;;;;;;;;;;
CTI COMERCIO;;;;X;;;;X;;;;X;;;;;;leandro_w@ctiweb.com.br;;;;;;;;;;;;;;
CURA E MED;;;;;;;;;;;;X;;;;;;cotacao@curaemed.com.br;;;;;;;;;;;;;;
CURA E MED - LetÌcia;;;;;;;;;;;;X;;;;;;leticia.jordao@curaemed.com.br;;;;;;;;;;;;;;
D&J REPRESENTACOES;;;;;;;;;;;X;X;;;;;;daniel@dejrepresentacoes.com.br;;;;;;;;;;;;;;
DA - HRSM;;X;;;;;;;;;;;;;;;;diretoria.adm.hrsm@gmail.com;;;;;;;;;;;;;;
DBlassl Hospitalar;;;X;;;;;X;;X;;X;X;X;X;;;comercial@dblasslhospitalar.com.br;;;;;;;;;;;;;;
DCRUZ;;;;;;;;;;;;X;;;;;;licitacao@dcruzcomercial.com.br;;;;;;;;;;;;;;
DEDETIZADORA FOLHA;;;;;;;;;;;;;;;;;X;dedetizadorafolha@gmail.com;;;;;;;;;;;;;;
DELTA;;;;;;;;;;;;X;;;;;;licitacao@deltamedicalbrasilia.com.br;;;;;;;;;;;;;;
DELTA MED;;;;;;;;;;;X;X;;;;;;vendas02@deltamedhosp.com.br;;;;;;;;;;;;;;
DELTA MED - ALINE;;X;;;;;;;;;;;;;;;;aline.lima@deltamedhosp.com.br;;;;;;;;;;;;;;
DENTAL ARAUJO;;;;;;;;X;;;X;X;X;;;;;dentalaraujobsb@gmail.com;;;;;;;;;;;;;;
DENTAL FORTE;;;;;;;;;;;X;;X;;;;;rafaelsdental@gmail.com;;;;;;;;;;;;;;
DENTAL MED OESTE;;;;;;;;;X;X;X;X;X;;;;;vendas2.dentalmed@gmail.com;;;;;;;;;;;;;;
DENTAL OPEN;;;;;;;;;;;;;X;;;;;contato@dentalopen.com.br;;;;;;;;;;;;;;
DENTAL PRIME;;;;;;;;;;;;;;;;;;licitacao@dentalprimecwb.com.br;;;;;;;;;;;;;;
DENTAL PRINCIPAL;;;;;;;;;;;;;X;;;;;principaldentarios@gmail.com;;;;;;;;;;;;;;
DESCARTEK;;;;X;;;;;;;;;;;;;;vendasdescartek@gmail.com;;;;;;;;;;;;;;
DESCTEXTIL;;;;;;;;;;X;;X;;;;;;vendasdesctextil@gmail.com;;;;;;;;;;;;;;
DEUSLIH;;;;X;;;;;;;;;;;;;;deuslih@gmail.com;;;;;;;;;;;;;;
DEUSLIH;;;;X;;;;;;;;;;;;;;deuslih@yahoo.com.br;;;;;;;;;;;;;;
DIAGLAB DF;;;;;;;;;X;;;X;;;;;;diaglab@diaglabdf.com.br;;;;;;;;;;;;;;
DIRK LABIMED - ESCOVAS;;;;;;;;;;;;X;;;;;;dirklabimed@gmail.com;;;;;;;;;;;;;;
DISPOMED;;;;;;;;;;;;X;;;;;;dispomedlicitacao@gmail.com;;;;;;;;;;;;;;
DISTRIBUIDORA BRASIL;;;;;;;;X;;X;X;X;X;;;;;televendas06@distbrasil.net;;;;;;;;;;;;;;
DISTRIBUIDORA BRASIL - Deisy;;;x;;;;;;;;;;;;;;;tele06.distbrasil@gmail.com;;;;;;;;;;;;;;
DL DISTRIBUIDORA ;;;;;;;;;;;X;X;X;;;;;dl15@dldistribuidora.net.br;;;;;;;;;;;;;;
DL DISTRIBUIDORA 1;;;;;;;;;;;X;X;X;;;;;dl1@dldistribuidora.net.br;;;;;;;;;;;;;;
DL DISTRIBUIDORA 2;;;;;;;;;;;X;X;;;;;;coordenador@dldistribuidora.net.br;;;;;;;;;;;;;;
DMI;;;;;;;;;;;;X;;;;;;vendas3@dmidf.com.br;;;;;;;;;;;;;;
DMI - ADRIANA;;;;;;;;;;;;X;;;;;;adrianadmivendas@gmail.com;;;;;;;;;;;;;;
DMI - WASHINGTON;;;;;;;;;;;;X;;;;;;wribeirodmi@gmail.com;;;;;;;;;;;;;;
DOCTORMED;;;X;X;;;;X;X;X;X;X;X;;X;;;cotacao.doctormed@gmail.com;;;;;;;;;;;;;;
DOCTORXRADIOLOGIA;;;;X;;;;;;;;;;;;;;contato@doctorxradiologia.com.br;;;;;;;;;;;;;;
DRIM IMPORTA«√O - R…GIO;;;;X;;;;X;X;X;X;X;X;;X;;;Comercial@drimportacao.com.br;;;;;;;;;;;;;;
DRM;;;;X;;;;;;;;;;;;;;drmmanutencaohosp@gmail.com;;;;;;;;;;;;;;
Drogaria Gabriel Akio;;;;;;;;;;;X;X;;;;;;takfarmaceutico7937@gmail.com;;;;;;;;;;;;;;
DROGARIA LARES;;;;;;;;;;;X;X;;;;;;drogarialares@gmail.com;;;;;;;;;;;;;;
DS MEDICAL;;;;X;;;;;;;;;;;;;;dsequipamentos@outlook.com;;;;;;;;;;;;;;
DS MEDICAL;;;;X;;;;;;;;;;;;;;dsmedicalequipamentos@gmail.com;;;;;;;;;;;;;;
EASY;;;;;;;;;X;;;X;;;;;;easy@easycientifica.com.br;;;;;;;;;;;;;;
ECOLAR ENGENHARIA;;;X;X;;;;;;;;X;;;;;;engenhariatenas@gmail.com;;;;;;;;;;;;;;
ECOLOGIC DEDETIZADORA;;;;;;;;;;;;;;;;;X;contato@ecologicdedetizadora.com.br;;;;;;;;;;;;;;
ECOMED;;;;X;;;;;;;;X;;;;;;adrianaecomed@hotmail.com;;;;;;;;;;;;;;
ECOPRINT;;;X;;;;;;;;;X;;X;;;;tiago.ecoprint@hotmail.com;;;;;;;;;;;;;;
ECOSONIC;;;;X;;;;;;;;;;;;;;atendimento@ecosonic.com.br;;;;;;;;;;;;;;
