Entradas; 2.786.847,51 ;Empenhado;R$ 2.786.847,50;;Saldo;;R$ 0,00;;;;;;;CONTROLE - GAMA;;;;;;;;;;;;;;;;;
Projeto Básico;Origem;Recebimento;Nº de processo SEI;Responsável;Cotação;Item;CÓDIGO;QTD COD;VG;NC;Descrição resumida dos itens adjudicados à empresa;Unid;Qtd. S;Empresa;Qtd. A; V. unitário ;V. Total;Fechamento;Nº DANFE;Data DANFE;Data de atesto;Data SEI;Nº TED;Data TED;Bimestre;Observações;Status da cotação;Início do processo;Duração Total (Uteis);Duração Até Hoje (Uteis);Desc Reduzida
035/2019;NECFM;19/09/2019;00060-00392200/2019-82;Oberdan;.305/2019;1;CAN05;1;;;Conserto do Carro de ANESTESIA, Marca MINDRAY, Modelo WATO EX-65, Chapa patrimonial n°930652.;Serviço;1;DS MEDICAL (702905);1; R$ 4.980,0000 ; R$4.980,00 ;03/12/2019;408;13/01/2020;14/01/2020;14/01/2020;44860;24/01/2020;A/A;;;;;;0
034/2019;NECFM;19/09/2019;00060-00390799/2019-10;Oberdan;.307/2019;1;ASP02;1;;;CONSERTO DE Aspirador Cirúrgico, marca Inalamed, nº patrimônio 874067;Serviço;1;SEMED (703277);1; R$ 680,0000 ; R$680,00 ;25/10/2019;220;03/05/2020;17/06/2020;17/06/2020;32455;29/06/2020;A/A;;;;;;0
194/2019;NFH;27/09/2019;00060-00402537/2019-13;Robson;.321/2019;1;92400;5;X;X;LUVA CIRURGICA CONVENCIONAL Nº 8,5 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;3.000;*CANCELADO;; R$ 0,8780 ; R$-   ;10/10/2019;;;;;;;A/A;R$ 1.586,546 06/01/2020 SEDE ABASTECIDA;;;;;LUVA CIRURGICA CONVENCIONAL Nº 8,5
194/2019;NFH;27/09/2019;00060-00402537/2019-13;Robson;.321/2019;2;92410;7;X;X;LUVA CIRURGICA CONVENCIONAL Nº 6,5 EM LATEX ESTERIL. Aplicação: uso universal em procedimentos cirúrgicos ou que exijam técnica asséptica rigorosa. Material: látex íntegro, Características Adicionais: estéril, com formato, disposição e baínha anatômica, com punho longo, comprimento total da luva de no mínimo de 25 cm, lubrificadas com pó bio absorvível, atóxico, que não cause dano ao organismo em condições normais de uso, devem apresentar boa resistência ao calçar, ser antiderrapante, com látex íntegro, sem manchas, sem ponto de acúmulo de látex, dobradas de acordo com o padrão hospitalar acondicionadas em envelope interno separando as luvas direita e esquerda e devidamente identificado na parte externa. A embalagem externa deve assegurar a esterilidade do produto sob condições adequadas de manuseio e estocagem, deve permitir abertura que promova transferência asséptica sem delaminar, deve conter: o tamanho, o tipo de esterilização, o lote, a data de fabricação e validade, conter número do C.A. Apresentação: embalagem individual, acondicionada em caixa. Unidade De Estoque: par. ;PAR;5.000;*CANCELADO;; R$ 0,8800 ; R$-   ;10/10/2019;;;;;;;A/A;R$ 4.400,00 06/01/2020 SEDE ABASTECIDA;;;;;LUVA CIRURGICA CONVENCIONAL Nº 6,5
095/2019;NUAL;27/09/2019;00060-00354512/2019-98;Robson;.326/2019;3;35478;3;X;X;CAIXA ORGANIZADORA,Material: poliestireno de alta densidade e/ou polipropileno, Tamanho/Capacidade: 40 LITROS. Características Adicionais: reforçada, com tampa, empilhável, Altura: mínimo 27,5 cm, Largura: mínimo 37 cm, Comprimento: mínimo 54,5 cm, Cor: branca ou transparente.;UN;35;*CANCELADO;; R$ 42,0000 ; R$-   ;11/10/2019;;;;;;;A/A;R$ 1.470,00 - 21/01/2020 - Vitta Não entregará.;;;;;CAIXA ORGANIZADORA
095/2019;NUAL;27/09/2019;00060-00354512/2019-98;Robson;.326/2019;4;35479;6;X;X;CAIXA ORGANIZADORA,Material: poliestireno de alta densidade e/ou polipropileno, Tamanho/Capacidade: 70 LITROS, Características Adicionais: reforçada, com tampa, empilhável, Altura: mínimo 35 cm, Largura: mínimo 35,5 cm, Comprimento: mínimo 71 cm, Cor: branca ou transparente.;UN;25;*CANCELADO;; R$ 53,0000 ; R$-   ;11/10/2019;;;;;;;A/A;R$ 1.325,00 - 21/01/2020 - Vitta Não entregará.;;;;;CAIXA ORGANIZADORA 70L
036/2019;NECFM;01/10/2019;00060-00410491/2019-06;Oberdan;.333/2019;1;GEN01;2;;;Conserto de GeneXpert Cepheid , nº patrimônio 1190252.;Serviço;1;CEPHEID (703752);1; R$ 13.167,0000 ; R$13.167,00 ;03/12/2019;1446;22/01/2020;18/02/2020;18/02/2020;3270;05/03/2020;A/A;;;;;;0
036/2019;NECFM;01/10/2019;00060-00410491/2019-06;Oberdan;.333/2019;1;GEN01;2;;;Conserto de GeneXpert Cepheid , nº patrimônio 1190252.;Serviço;1;ISS ();1; R$ 693,0000 ; R$693,00 ;03/12/2019;1446;22/01/2020;18/02/2020;18/02/2020;3270;05/03/2020;A/A;;;;;;0
038/2019;NECFM;03/10/2019;00060-00410766/2019-01;Oberdan;.338/2019;3;TEN03;1;;;Conserto de Estimulador Elétrico Transcutâneo, Marca KINESIS TENS, Nº Patrimônio 707951;Serviço;1;DS MEDICAL (702905);1; R$ 250,0000 ; R$250,00 ;03/12/2019;407;16/01/2020;27/01/2020;27/01/2020;49574;31/01/2020;A/A;;;;;;0
038/2019;NECFM;03/10/2019;00060-00410766/2019-01;Oberdan;.338/2019;1;TEN01;1;;;Conserto do Aparelho TENS/FES Marca KINESIS NEW, Chapa patrimonial n°776007.;Serviço;1;DS MEDICAL (702905);1; R$ 250,0000 ; R$250,00 ;03/12/2019;407;16/01/2020;27/01/2020;27/01/2020;49574;31/01/2020;A/A;;;;;;0
038/2019;NECFM;03/10/2019;00060-00410766/2019-01;Oberdan;.338/2019;2;TEN02;1;;;Conserto do Aparelho TENS/FES Marca KINESIS NEW, Chapa patrimonial n°776010.;Serviço;1;DS MEDICAL (702905);1; R$ 250,0000 ; R$250,00 ;03/12/2019;407;16/01/2020;27/01/2020;27/01/2020;49574;31/01/2020;A/A;;;;;;0
043/2019;NECFM;10/10/2019;00060-00422892/2019-09;Oberdan;.353/2019;1;CAM21;1;;;Conserto de CAMA Marca HOSPIMETAL, Nº. Patrimônio 878278;Serviço;1;*CANCELADO;; R$ 700,0000 ; R$-   ;03/12/2019;;;;;;;A/A;R$ 700,00 07/01/2020 DS MEDICAL diz que não tem conserto.;;;;;0
043/2019;NECFM;10/10/2019;00060-00422892/2019-09;Oberdan;.353/2019;2;CAM18;1;;;Conserto da Cama marca HOSPIMETAL, Chapa patrimonial n° 878297;Serviço;1;DS MEDICAL (702905);1; R$ 700,0000 ; R$700,00 ;03/12/2019;405;02/01/2020;14/01/2020;14/01/2020;44864;24/01/2020;A/A;;;;;;0
043/2019;NECFM;10/10/2019;00060-00422892/2019-09;Oberdan;.353/2019;3;CAM65;1;;;CONSERTO DE CAMA ELETRÔNICA - STRYKER PAT.: 019964;Serviço;1;DS MEDICAL (702905);1; R$ 700,0000 ; R$700,00 ;03/12/2019;405;02/01/2020;14/01/2020;14/01/2020;44864;24/01/2020;A/A;;;;;;0
043/2019;NECFM;10/10/2019;00060-00422892/2019-09;Oberdan;.353/2019;4;CAM69;1;;;CONSERTO DE CAMA Marca STRYKER, Nº. Patrimônio 019967;Serviço;1;DS MEDICAL (702905);1; R$ 700,0000 ; R$700,00 ;03/12/2019;405;02/01/2020;14/01/2020;14/01/2020;44864;24/01/2020;A/A;;;;;;0
108/2019;NUAL;17/10/2019;00060-00432354/2019-14;Robson;.362/2019;1;11635;1;X;X;ALICATE, Material: aço forjado, Aplicação: crimpar conectores RJ-11, Tipo: grampeador. 1;UN;1;PRIMEIRA LINHA (878);1; R$ 33,6000 ; R$33,60 ;19/12/2019;478895;20/12/2019;23/12/2019;23/12/2019;29376;02/01/2020;A/A;;;;;;ALICATE
108/2019;NUAL;17/10/2019;00060-00432354/2019-14;Robson;.362/2019;2;13042;1;X;X;ALICATE UNIVERSAL,Características Adicionais: compontas temperadas , cabo isolado, Comprimento: 200 mm;UN;1;LARISSA (703011);1; R$ 13,3600 ; R$13,36 ;19/12/2019;923;19/12/2019;24/12/2019;24/12/2019;29379;02/01/2020;A/A;;;;;;ALICATE UNIVERSAL
108/2019;NUAL;17/10/2019;00060-00432354/2019-14;Robson;.362/2019;3;21114;1;X;X;ALICATE DE BICO, Características Técnicas Mínimas: meia cana, 6 polegadas, ponteira de aço e cabo emborrachado Código do Item: 3.3.90.30.42.02.0109.000001-01;UN;1;LARISSA (703011);1; R$ 13,0900 ; R$13,09 ;19/12/2019;923;19/12/2019;24/12/2019;24/12/2019;29379;02/01/2020;A/A;;;;;;ALICATE DE BICO
108/2019;NUAL;17/10/2019;00060-00432354/2019-14;Robson;.362/2019;4;27242;1;X;X;ALICATE DE CORTE DIAGONAL - Fabricado em aço cromo-vanádio, arestas de corte com ajuste preciso, temperadas por indução, cabo antideslizante com abas protetoras para maior conforto.;UN;1;FERRAGENS LÍDER (700064);1; R$ 12,0000 ; R$12,00 ;19/12/2019;7605;23/12/2019;23/12/2019;23/12/2019;44882;24/01/2020;A/A;;;;;;ALICATE DE CORTE
109/2019;NUAL;17/10/2019;00060-00432405/2019-16;Robson;.363/2019;1;31330;1;X;X;JOGO DE CHAVE ALLEN. Aplicação/Finalidade: utilização na manutenção de equipamentos mecânicos. Material/Composição: aço com tratamento superficial oxidado. Tamanho: componentes com 6, 7, 8 e 9,50 mm (milímetros). Características Adicionais: formatos hexagonais, medida referência 1, 27 a 10. Processo de Esterilização: não se aplica. Forma de Apresentação: ferramenta. Prazo de Validade: indeterminado. Unidade de Estoque: jogo - JG.;UN;1;FERRAGENS LÍDER (700064);1; R$ 37,1000 ; R$37,10 ;19/12/2019;7606;23/12/2019;23/12/2019;23/12/2019;44894;24/01/2020;A/A;;;;;;JOGO DE CHAVE ALLEN
109/2019;NUAL;17/10/2019;00060-00432405/2019-16;Robson;.363/2019;2;13354;1;X;X;CONJUNTO DE CHAVE ESTRELA ,Material: aço cromovanádio, Composição: 09 peças, Medidas: 6/7mm, 10/11mm, 12/13mm, 14/15mm, 18/19mm, 21/23mm, 24/26mm, 24/27mm e 27/32mm., Unidade De Fornecimento: conjunto com 9 peças.;CJ;1;*CANCELADO;; R$ 36,1000 ; R$-   ;19/12/2019;;;;;;;A/A;R$ 36,10 - 17/01/2020 - 1ª Linha entregou errado;;;;;CONJUNTO DE CHAVE ESTRELA
109/2019;NUAL;17/10/2019;00060-00432405/2019-16;Robson;.363/2019;3;13024;2;X;X;"CONJUNTO CHAVE DE FENDA,Material: aço cromo vanádio, Material Haste: niquelada, Material Cabo: polipropileno, Quantidade Peças: 6, Dimensões: 4,50 x 80 mm; 4,50 x 100 mm; 6 x 150 mm; 8 x 150mm; 8 x 200 mm; 10 x 150 mm, Tipo: cruzada (philips), Unidade De Fornecimento: conjunto com 6 peças";UN;1;*CANCELADO;; R$ 37,5100 ; R$-   ;19/12/2019;;;;;;;A/A;R$ 37,51 - 17/01/2020 - 1ª Linha entregou errado;;;;;CONJUNTO DE CHAVE DE FENDA
109/2019;NUAL;17/10/2019;00060-00432405/2019-16;Robson;.363/2019;4;2215;1;X;X;JOGO DE CHAVE DE BOCA;JG;1;FERRAGENS LÍDER (700064);1; R$ 53,0000 ; R$53,00 ;19/12/2019;7606;23/12/2019;23/12/2019;23/12/2019;44894;24/01/2020;A/A;;;;;;JOGO DE CHAVE DE BOCA
112/2019;NUAL;17/10/2019;00060-00434857/2019-24;Robson;.364/2019;1;15962;2;X;X;COLCHAO HOSPITALAR REVESTIDO EM NAPA COR CINZA C/ESPUMA DE 10CM E DENSIDADE D28 TAMANHO 80X1,90CM 1;UN;150;ÉTICA (703252);30; R$ 182,0000 ; R$5.460,00 ;19/12/2019;813;06/01/2020;07/01/2020;07/01/2020;44877;24/01/2020;A/A;;;;;;COLCHÃO HOSPITALAR
223/2019;NFH;01/11/2019;00060-00455557/2019-89;Clayton;.376/2019;1;95244;2;X;X;CONJUNTO PARA DETERMINAÇÃO DE DOENÇA DE CHAGAS - REACAO HEMAGLUTINAÇAO INDIRETA;TE;400;PMH (347);384; R$ 0,7000 ; R$268,80 ;05/11/2019;216203;05/11/2020;23/01/2020;23/01/2020;44898;24/01/2020;A/A;;;;;;CONJUNTO PARA DETERMINAÇÃO DE DOENÇA DE CHAGAS
224/2019;NFH;01/11/2019;00060-00455671/2019-17;Robson;.377/2019;2;90534;1;X;X;ACIDO TRANEXAMICO COMPRIMIDO 250 MG  ;CP;200;*CANCELADO;; R$ 0,6125 ; R$-   ;18/11/2019;;;;;;;A/A;R$ 122,50 - 20/01/2020 - Científica desistiu;;;;;ACIDO TRANEXAMICO COMPRIMIDO 250 MG  
224/2019;NFH;01/11/2019;00060-00455671/2019-17;Robson;.377/2019;3;90159;4;X;X;DILTIAZEM (CLORIDRATO) COMPRIMIDO 60 MG;CP;300;*CANCELADO;; R$ 0,1464 ; R$-   ;18/11/2019;;;;;;;A/A;R$ 43,92  - 20/01/2020 - Científica desistiu;;;;;DILTIAZEM (CLORIDRATO) COMPRIMIDO 60 MG
222/2019;NFH;01/11/2019;00060-00454240/2019-25;Robson;.378/2019;3;92444;2;X;X;"SONDA DE FOLEY 2 VIAS LÁTEX  Nº 12. Aplicação: drenagem e controle da diurese. Material: Látex atóxico. Características Adicionais: estéril, descartável, siliconizada; medindo aproximadamente 28 cm, apresentando flexibilidade e maleabilidade adequadas ao fim a que se destina, que não cause irritação ao paciente, espessura uniforme, isenta de manchas ou quaisquer defeitos. Balão com capacidade de 1,5 a 5 ml e válvula fixa que permita perfeita adaptação a seringas, com boa distensibilidade. Ponta distal arredondada e fechada, apresentando 02 orifícios ovais situados em lados opostos, delimitados e proporcionais ao diâmetro da sonda, isentos de rebarbas e ou saliências que possam traumatizar o paciente. Embalagem dupla, sendo a externa em papel grau cirúrgico e a interna em polietileno picotado nas extremidades, favorecendo a abertura em técnica asséptica e garantindo a integridade e esterilidade do produto.";UN;50;JJT AMARAL (703513);50; R$ 2,3400 ; R$117,00 ;18/11/2019;1100;19/11/2019;03/12/2019;26/12/2019;29368;02/01/2020;A/A;;;;;;SONDA DE FOLEY 2 VIAS LÁTEX  Nº 12
118/2019;NUAL;01/11/2019;00060-00452453/2019-12;Robson;.379/2019;1;19343;4;X;X;DISCO COMPACTO, Capacidade: CD R, 700 Mb, Tempo Duração: 80 min, Características Adicionais: gravável, Unidade de Fornecimento: envelope com 1 unidade;UIN;1.000;*CANCELADO;; R$ 0,6700 ; R$-   ;19/12/2019;;;;;;;A/A;R$ 641,86 03/01/2020 Alimed vai demorar para entregar.;;;;;DISCO CD-R GRAVÁVEL
227/2019;NFH;13/11/2019;00060-00468876/2019-54;Bruno;.383/2019;1;90949;9;X;X;ONDANSETRONA SOLUÇAO INJETAVEL 2 MG/ML AMPOLA 4 ML;AMP;2000;*CANCELADO;; R$ 1,2700 ; R$-   ;22/11/2019;;;;;;;A/A;R$ 2.540,00  - 20/01/2020 - Científica desistiu;;;;;ONDANSETRONA SOLUÇAO INJETAVEL 2 MG/ML AMPOLA 4 ML
227/2019;NFH;13/11/2019;00060-00468876/2019-54;Bruno;.383/2019;2;90291;6;X;X;PROPANOLOL (CLORIDRATO) COMPRIMIDO 40 MG;CP;500;*CANCELADO;; R$ 0,0270 ; R$-   ;22/11/2019;;;;;;;A/A;R$ 13,50 - 20/01/2020 - Científica desistiu;;;;;PROPANOLOL (CLORIDRATO) COMPRIMIDO 40 MG
228/2019;NFH;19/11/2019;00060-00468965/2019-09;Clayton;.384/2019;3;21408;2;X;X;METOPROLOL (SUCCINATO) COMPRIMIDO DE LIBERAÇÃO CONTROLADA 50 MG;CP;1.500;MARTINS (700168);1.500; R$ 0,9900 ; R$1.485,00 ;22/11/2019;68036;27/11/2019;28/11/2019;29/11/2019;29005;02/01/2020;A/A;;;;;;METOPROLOL (SUCCINATO) COMPRIMIDO DE LIBERAÇÃO CONTROLADA 50 MG
228/2019;NFH;19/11/2019;00060-00468965/2019-09;Clayton;.384/2019;2;90029;7;X;X;PROXIMETACAINA (CLORIDRATO) SOLUÇAO OFTALMICA 0,5 % FRASCO CONTA-GOTA 5 ML;FR;20;MARTINS (700168);20; R$ 9,2000 ; R$184,00 ;22/11/2019;68036;27/11/2019;28/11/2019;29/11/2019;29005;02/01/2020;A/A;;;;;;PROXIMETACAINA (CLORIDRATO) SOLUÇAO OFTALMICA 0
123/2019;NUAL;13/11/2019;00060-00461977/2019-02;Clayton;.386/2019;1;7647;1;X;X;NAVALHA PARA MICRÓTOMO DE PERFIL BAIXO. Aplicação: corte de parafina, Material: aço inoxidável, Dimensões: 74MM de comprimento X 14MM de largura, Caracteristicas adicionais: uso laboratorial e descartável, perfil baixo. ***O preço cotado deve ser para caixa com 50 navalhas.***;CX;20;CIA SUPRIMENTOS (703699);15; R$ 438,0000 ; R$6.570,00 ;22/11/2019;20;04/12/2019;04/12/2019;05/12/2019;3268;24/01/2020;A/A;;;;;;NAVALHA PARA MICRÓTOMO
240/2019;NFH;28/11/2019;00060-00489318/2019-22;Robson;.398/2019;2;91158;1;X;X;FAIXA DE ESMARCH 12CMX200CM ;UN;20;ECOPRINT (701495);20; R$ 55,0000 ; R$1.100,00 ;11/12/2019;817;06/01/2020;06/01/2020;13/01/2020;44903;24/01/2020;A/A;;;;;;FAIXA DE ESMARCH 12CMX200CM 
239/2019;NFH;28/11/2019;00060-00488624/2019-41;Robson;.399/2019;1;90076;1;X;X;FENITOINA SOLUCAO INJETAVEL 50 MG/ML AMPOLA 5 ML;AMP;200;CRISTÁLIA (114);200; R$ 2,1800 ; R$436,00 ;11/12/2019;2498971;16/12/2019;16/12/2019;30/12/2019;44906;24/01/2020;A/A;;;;;;FENITOINA SOLUCAO INJETAVEL 50 MG/ML AMPOLA 5 ML
239/2019;NFH;28/11/2019;00060-00488624/2019-41;Robson;.399/2019;4;20626;1;X;X;DEXMEDETOMIDINA (CLORIDRATO) SOLUCAO INJETAVEL 100MCG/ML FRASCO-AMPOLA 2ML;FA;300;ESPIRITO SANTO (703683);300; R$ 43,5000 ; R$13.050,00 ;11/12/2019;2168;19/12/2019;19/12/2019;30/12/2019;44810;24/01/2020;A/A;;;;;;DEXMEDETOMIDINA
242/2019;NFH;05/12/2019;00060-00498014/2019-56;Robson;.404/2019;6;90550;9;X;X;BICARBONATO DE SODIO SOLUCAO INJETAVEL 8,4 % (1 MEQ/ML) AMPOLA 10 ML  ;AMP;400;CIENTÍFICA (700617);400; R$ 0,6100 ; R$244,00 ;12/12/2019;107602;07/01/2020;09/01/2020;13/01/2020;44840;24/01/2020;A/A;;;;;;BICARBONATO DE SODIO
242/2019;NFH;05/12/2019;00060-00498014/2019-56;Robson;.404/2019;3;17684;6;X;X;FÓRMULA INFANTIL PARA LACTENTES, 0 À 6 MESES, Aplicação: indicada para lactentes desde o nascimento até o 6º mês de vida,  Características Adicionais: à base de leite de vaca ou de outros animais ou de uma mistura destes e/ou de outros ingredientes comprovadamente adequados para alimentação de lactentes até o sexto mês de vida, sem indicações dietoterápicas específicas. Forma de Apresentação: pó, Unidade de Estoque: grama (GR).;GR;38.000;CIENTÍFICA (700617);38.000; R$ 0,0450 ; R$1.710,00 ;12/12/2019;107602;07/01/2020;09/01/2020;13/01/2020;44840;24/01/2020;A/A;;;;;;FÓRMULA INFANTIL PARA LACTENTES
242/2019;NFH;05/12/2019;00060-00498014/2019-56;Robson;.404/2019;4;90170;2;X;X;N-ACETILCISTEINA SOLUCAO INJETAVEL 100 MG/ML AMPOLA 3 ML.;AMP;1.440;CIENTÍFICA (700617);1.400; R$ 1,5800 ; R$2.212,00 ;12/12/2019;107602;07/01/2020;09/01/2020;13/01/2020;44840;24/01/2020;A/A;;;;;;N-ACETILCISTEINA SOLUCAO INJETAVEL 100 MG/ML AMPOLA 3 ML
242/2019;NFH;05/12/2019;00060-00498014/2019-56;Robson;.404/2019;2;90459;1;X;X;REMIFENTANILA (CLORIDRATO) PO LIOFILIZADO PARA SOLUÇAO INJETAVEL 2 MG FRASCO AMPOLA;AMP;200;CRISTÁLIA (114);200; R$ 28,1500 ; R$5.630,00 ;12/12/2019;2498972;13/12/2019;16/12/2019;13/01/2020;44832;24/01/2020;A/A;;;;;;REMIFENTANILA (CLORIDRATO) PO LIOFILIZADO PARA SOLUÇAO INJETAVEL 2 MG FRASCO AMPOLA
242/2019;NFH;05/12/2019;00060-00498014/2019-56;Robson;.404/2019;7;90590;4;X;X;SACARATO DE HIDROXIDO DE FERRO III SOLUÇAO INJETAVEL ENDOVENOSA 20MG/ML AMPOLA 5ML;AMP;1.800;CIENTÍFICA (700617);1.800; R$ 6,3000 ; R$11.340,00 ;12/12/2019;107602;07/01/2020;09/01/2020;13/01/2020;44840;24/01/2020;A/A;;;;;;SACARATO DE HIDROXIDO DE FERRO III SOLUÇAO INJETAVEL ENDOVENOSA 20MG/ML AMPOLA 5ML
244/2019;NFH;05/12/2019;00060-00499739/2019-61;Robson;.406/2019;4;90225;3;X;X;GLICLAZIDA COMPRIMIDO DE LIBERACAO PROLONGADA 30 MG;CP;1.000;WERBRAN (700722);960; R$ 0,2900 ; R$278,40 ;12/12/2019;454504;16/12/2019;16/12/2019;30/12/2019;44853;24/01/2020;A/A;R$ 12,00 - 17/01/2020 - Adequar para quantidade da caixa;;;;;GLICLAZIDA COMPRIMIDO DE LIBERACAO PROLONGADA 30 MG
244/2019;NFH;05/12/2019;00060-00499739/2019-61;Robson;.406/2019;5;29664;4;X;X;GLICLAZIDA COMPRIMIDO DE LIBERACAO PROLONGADA 60 MG;CP;1.000;WERBRAN (700722);960; R$ 2,3500 ; R$2.256,00 ;12/12/2019;454504;16/12/2019;16/12/2019;30/12/2019;44853;24/01/2020;A/A;R$ 94,00 - 17/01/2020 - Adequar para quantidade da caixa;;;;;GLICAZIDA
244/2019;NFH;05/12/2019;00060-00499739/2019-61;Robson;.406/2019;7;90215;1;X;X;TENOXICAM PO LIOFILIZADO PARA SOLUCAO INJETAVEL 20 MG FRASCO-AMPOLA.;AMP;8.000;CRISTÁLIA (114);2.700; R$ 6,4900 ; R$17.523,00 ;12/12/2019;2504321;20/12/2019;20/12/2019;30/12/2019;44830;24/01/2020;A/A;;;;;;TENOXICAM PO LIOFILIZADO PARA SOLUCAO INJETAVEL 20 MG FRASCO-AMPOLA
